                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9405,                 3.9425,                 1.7468,                0.00626,                0.30458,                0.03066,                0.01718,                 1.4434,                 4.0614,                 1.7249,              7.777e-05,              7.777e-05,              7.777e-05
                      1,                 1.7394,                 3.4081,                 1.5923,                0.00927,                0.54576,                0.10553,                0.06398,                  1.265,                 3.8876,                 1.4903,               0.000165,               0.000165,               0.000165
                      2,                 1.7133,                 2.6209,                 1.4803,                0.00983,                0.61947,                0.13403,                0.08542,                 1.3244,                 3.6875,                 1.4223,             0.00025047,             0.00025047,             0.00025047
                      3,                 1.6669,                 2.4093,                 1.4514,                0.01262,                0.72607,                0.30442,                0.18377,                 1.3438,                 3.5239,                  1.414,             0.00033418,             0.00033418,             0.00033418
                      4,                 1.5959,                 2.0711,                 1.4212,                      1,                0.04005,                0.31977,                0.18627,                 1.3715,                 3.4557,                 1.4568,             0.00041613,             0.00041613,             0.00041613
                      5,                 1.5837,                 1.8612,                 1.4062,                      1,                0.09658,                0.37168,                0.22342,                 1.4431,                 3.2705,                 1.4962,             0.00049632,             0.00049632,             0.00049632
                      6,                 1.5629,                 1.6711,                 1.3788,                0.91207,                0.26602,                0.42557,                 0.2673,                 1.4579,                 2.8446,                 1.4815,             0.00057475,             0.00057475,             0.00057475
                      7,                 1.5365,                 1.5782,                 1.3589,                0.83305,                0.22899,                0.40967,                0.23742,                 1.4655,                  2.891,                 1.5101,             0.00065142,             0.00065142,             0.00065142
                      8,                 1.5617,                 1.5971,                 1.3994,                0.79932,                 0.3022,                 0.4522,                0.26008,                 1.5367,                 2.8472,                 1.5177,             0.00072634,             0.00072634,             0.00072634
                      9,                 1.5208,                 1.5611,                 1.3684,                0.49815,                0.32159,                0.40937,                0.22457,                 1.5649,                 2.7363,                 1.5869,             0.00079949,             0.00079949,             0.00079949
                     10,                 1.4936,                 1.4837,                 1.3684,                 0.4735,                0.35336,                0.45201,                0.21017,                 1.6139,                 2.6135,                 1.6635,             0.00087088,             0.00087088,             0.00087088
                     11,                 1.4687,                 1.4049,                 1.3575,                0.41529,                0.52503,                0.57403,                 0.3084,                 1.6073,                 2.6125,                 1.6363,             0.00094051,             0.00094051,             0.00094051
                     12,                   1.48,                 1.3867,                 1.3095,                0.36352,                0.48158,                 0.4578,                0.24211,                 1.5799,                 2.7113,                 1.5875,             0.00097901,             0.00097901,             0.00097901
                     13,                 1.4309,                 1.3671,                  1.312,                 0.4578,                 0.4936,                0.56534,                0.32295,                 1.5285,                 2.5001,                 1.6145,             0.00097901,             0.00097901,             0.00097901
                     14,                 1.4391,                 1.3122,                 1.3357,                0.58506,                0.39532,                 0.5931,                0.29684,                  1.665,                 2.5924,                 1.8282,             0.00096801,             0.00096801,             0.00096801
